Opening Year,Closing Year,City,District,Country,Agency,Latitude,Longitude
1856.0,1957.0,Beirut,Unknown,Lebanon,"Unknown, Beirut, Lebanon",33.8892265,35.5025585
1856.0,1866.0,Galati,Unknown,Romania,"Unknown, Galati, Romania",45.4338215,28.0549395
1856.0,1934.0,London,Unknown,United Kingdom,"Unknown, London, United Kingdom",51.5074456,-0.1277653
1856.0,1956.0,İstanbul,Unknown,Turkey,"Unknown, İstanbul, Turkey",41.006381,28.9758715
1856.0,1955.0,İzmir,Unknown,Turkey,"Unknown, İzmir, Turkey",38.23166,27.02997
1861.0,1921.0,Bucharest,Unknown,Romania,"Unknown, Bucharest, Romania",44.4361414,26.1027202
1862.0,1954.0,Afyonkarahisar,Unknown,Turkey,"Unknown, Afyonkarahisar, Turkey",38.6852729,30.6427411
1862.0,1957.0,Aydın,Unknown,Turkey,"Unknown, Aydın, Turkey",37.7405798,28.0676404
1862.0,1960.0,Larnaca,Unknown,Cyprus,"Unknown, Larnaca, Cyprus",34.9236095,33.6236184
1862.0,1950.0,Manisa,Unknown,Turkey,"Unknown, Manisa, Turkey",38.8574402,28.0565711
1862.0,1938.0,Thessaloniki,Unknown,Greece,"Unknown, Thessaloniki, Greece",40.6403167,22.9352716
1863.0,1974.0,Unknown,Unknown,Unknown,"Unknown, Unknown, Unknown",,
1865.0,,Isparta,Unknown,Turkey,"Unknown, Isparta, Turkey",37.9465412,30.9602093
1867.0,1958.0,Alexandria,Unknown,Egypt,"Unknown, Alexandria, Egypt",31.1991806,29.8951716
1868.0,1950.0,Paris,Unknown,France,"Unknown, Paris, France",48.8588897,2.320041
1869.0,1941.0,Antalya,Unknown,Turkey,"Unknown, Antalya, Turkey",36.8865728,30.7030242
1872.0,1948.0,Port Said,Unknown,Egypt,"Unknown, Port Said, Egypt",31.263235,32.305505
1874.0,1967.0,İstanbul,Fatih,Turkey,"Fatih, İstanbul, Turkey",41.0192846,28.9479296
1874.0,1957.0,Jaffa,Unknown,Israel,"Unknown, Jaffa, Israel",32.0443395,34.7509908
1875.0,1954.0,Bursa,Unknown,Turkey,"Unknown, Bursa, Turkey",39.9895878,28.8944669
1875.0,1942.0,Damascus,Unknown,Syria,"Unknown, Damascus, Syria",33.5130695,36.3095814
1875.0,1956.0,Edirne,Unknown,Turkey,"Unknown, Edirne, Turkey",41.6759327,26.5587225
1875.0,1880.0,Ruse,Unknown,Bulgaria,"Unknown, Ruse, Bulgaria",43.8480413,25.9542057
1876.0,1974.0,İstanbul,Pera,Turkey,"Pera, İstanbul, Turkey",41.0284233,28.9736808
1878.0,1899.0,Plovdiv,Unknown,Bulgaria,"Unknown, Plovdiv, Bulgaria",42.1418541,24.7499297
1879.0,1936.0,Limassol,Unknown,Cyprus,"Unknown, Limassol, Cyprus",34.6852901,33.0332657
1879.0,1967.0,Nicosia,Unknown,Cyprus,"Unknown, Nicosia, Cyprus",35.1746503,33.3638783
1880.0,1882.0,Varna,Unknown,Bulgaria,"Unknown, Varna, Bulgaria",43.2073873,27.9166653
1881.0,1947.0,Aydın,Nazilli,Turkey,"Nazilli, Aydın, Turkey",37.9097512,28.3242062
1881.0,1957.0,Kastamonu,İnebolu,Turkey,"İnebolu, Kastamonu, Turkey",41.9785763,33.7599031
1886.0,1953.0,İstanbul,Yeni Cami,Turkey,"Yeni Cami, İstanbul, Turkey",41.0841248,29.0789477
1887.0,1958.0,Cairo,Unknown,Egypt,"Unknown, Cairo, Egypt",30.0443879,31.2357257
1888.0,1950.0,Adana,Unknown,Turkey,"Unknown, Adana, Turkey",36.9863599,35.3252861
1889.0,1951.0,Konya,Unknown,Turkey,"Unknown, Konya, Turkey",37.872734,32.4924376
1890.0,1950.0,Denizli,Unknown,Turkey,"Unknown, Denizli, Turkey",37.8275892,29.2389539
1890.0,,Muğla,Unknown,Turkey,"Unknown, Muğla, Turkey",37.1642053,28.2624288
1890.0,1953.0,Sofia,Unknown,Bulgaria,"Unknown, Sofia, Bulgaria",42.6977028,23.3217359
1891.0,1938.0,Balıkesir,Unknown,Turkey,"Unknown, Balıkesir, Turkey",39.5400798,28.0228793
1891.0,1958.0,Kütahya,Unknown,Turkey,"Unknown, Kütahya, Turkey",39.2522508,29.4937732
1891.0,1956.0,Samsun,Unknown,Turkey,"Unknown, Samsun, Turkey",41.2303557,35.9683338
1891.0,1958.0,Trabzon,Unknown,Turkey,"Unknown, Trabzon, Turkey",41.0054605,39.7301463
1891.0,1932.0,Uşak,Unknown,Turkey,"Unknown, Uşak, Turkey",38.5768902,29.3729779
1892.0,1932.0,Bilecik,Unknown,Turkey,"Unknown, Bilecik, Turkey",40.1543234,30.1479907
1892.0,1899.0,Ruse,Unknown,Bulgaria,"Unknown, Ruse, Bulgaria",43.8480413,25.9542057
1892.0,1934.0,Şanlıurfa,Unknown,Turkey,"Unknown, Şanlıurfa, Turkey",37.2595198,39.0408174
1893.0,1926.0,Afyonkarahisar,Bolvadin,Turkey,"Bolvadin, Afyonkarahisar, Turkey",38.7115866,31.0454865
1893.0,1956.0,Baghdad,Unknown,Iraq,"Unknown, Baghdad, Iraq",33.3061701,44.3872213
1893.0,1957.0,Basra,Unknown,Iraq,"Unknown, Basra, Iraq",30.4952371,47.8090981
1894.0,1943.0,Aleppo,Unknown,Syria,"Unknown, Aleppo, Syria",36.19924,37.1637253
1894.0,1965.0,Mersin,Unknown,Turkey,"Unknown, Mersin, Turkey",36.7978381,34.6298391
1895.0,1958.0,Ankara,Unknown,Turkey,"Unknown, Ankara, Turkey",39.9207759,32.8540497
