ID,Record Year,Career Start Year,Career End Year,Tenure,Function,Base Salary,Allowances,Agency,Religion,District,City,Country,Period Start Year,Period End Year
PP00101,1928.0,1928.0,1931.0,3.0,Operations,5.75,,"Unknown, İstanbul, Turkey",Armenian,Unknown,İstanbul,Turkey,1928.0,1931.0
PP00102,1928.0,1928.0,1933.0,5.0,Office,21.5,,"Unknown, Naples, Italy",Orthodox,Unknown,Naples,Italy,1928.0,1929.0
PP00102,1929.0,1928.0,1933.0,5.0,Unknown,4.0,,"Unknown, Naples, Italy",Orthodox,Unknown,Naples,Italy,1929.0,1933.0
PP00103,1911.0,1911.0,1911.0,0.0,Office,6.67,2.12,"Unknown, Alexandria, Egypt",Unknown,Unknown,Alexandria,Egypt,1911.0,1911.0
PP00104,1922.0,1922.0,1935.0,13.0,Cashier,5.0,,"Unknown, Hama, Syria",Muslim,Unknown,Hama,Syria,1922.0,1922.0
PP00104,1922.0,1922.0,1935.0,13.0,Cashier,5.0,,"Unknown, Hama, Syria",Muslim,Unknown,Hama,Syria,1922.0,1922.0
PP00104,1922.0,1922.0,1935.0,13.0,Unknown,7.0,8,"Unknown, Hamadan, Iran",Muslim,Unknown,Hamadan,Iran,1922.0,1935.0
PP00105,1927.0,1927.0,1932.0,5.0,Securities,10.6,,"Pera, İstanbul, Turkey",Orthodox,Pera,İstanbul,Turkey,1927.0,1927.0
PP00105,1927.0,1927.0,1932.0,5.0,Securities,10.8,,"Pera, İstanbul, Turkey",Orthodox,Pera,İstanbul,Turkey,1927.0,1928.0
PP00105,1928.0,1927.0,1932.0,5.0,Securities,10.8,,"Pera, İstanbul, Turkey",Orthodox,Pera,İstanbul,Turkey,1928.0,1930.0
PP00105,1930.0,1927.0,1932.0,5.0,Cashier,10.8,,"Pera, İstanbul, Turkey",Orthodox,Pera,İstanbul,Turkey,1930.0,1932.0
PP00107,1929.0,1929.0,1934.0,5.0,Correspondence,3.38,,"Unknown, Unknown, Unknown",Catholic,Unknown,Unknown,Unknown,1929.0,1934.0
PP00109,1928.0,1928.0,1931.0,3.0,Office,2.5,,"Unknown, Unknown, Unknown",Muslim,Unknown,Unknown,Unknown,1928.0,1931.0
PP00112,1923.0,1923.0,1932.0,9.0,Cashier,2.12,,"Pera, İstanbul, Turkey",Muslim,Pera,İstanbul,Turkey,1923.0,1932.0
PP00113,1927.0,1927.0,1934.0,7.0,Unknown,,,"Unknown, Unknown, Unknown",Unknown,Unknown,Unknown,Unknown,1927.0,1928.0
PP00113,1928.0,1927.0,1934.0,7.0,Office,0.3,,"Adapazarı, Sakarya, Turkey",Muslim,Adapazarı,Sakarya,Turkey,1928.0,1930.0
PP00113,1930.0,1927.0,1934.0,7.0,Unknown,13.11,,"Adapazarı, Sakarya, Turkey",Muslim,Adapazarı,Sakarya,Turkey,1930.0,1934.0
PP00114,1923.0,1923.0,1929.0,6.0,Securities,2.5,,"Unknown, Unknown, Unknown",Unknown,Unknown,Unknown,Unknown,1923.0,1927.0
PP00114,1927.0,1923.0,1929.0,6.0,Securities,3.0,,"Unknown, Unknown, Unknown",Unknown,Unknown,Unknown,Unknown,1927.0,1929.0
PP00114,1929.0,1923.0,1929.0,6.0,Securities,3.0,,"Unknown, Unknown, Unknown",Unknown,Unknown,Unknown,Unknown,1929.0,1929.0
