Source,Target,Year,Count
"Pera, İstanbul, Turkey","Unknown, Unknown, Unknown",1928.0,116
"Pera, İstanbul, Turkey","Unknown, Unknown, Unknown",1927.0,101
"Pera, İstanbul, Turkey","Unknown, Unknown, Unknown",1929.0,60
"Pera, İstanbul, Turkey","Unknown, Unknown, Unknown",1930.0,27
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1928.0,26
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1929.0,23
"Unknown, İzmir, Turkey","Unknown, Unknown, Unknown",1928.0,22
"Unknown, Cairo, Egypt","Unknown, Unknown, Unknown",1928.0,21
"Fatih, İstanbul, Turkey","Unknown, Unknown, Unknown",1928.0,19
"Unknown, İzmir, Turkey","Unknown, Unknown, Unknown",1929.0,16
"Pera, İstanbul, Turkey","Fatih, İstanbul, Turkey",1927.0,15
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1930.0,14
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1923.0,14
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1911.0,13
"Unknown, Ankara, Turkey","Unknown, Unknown, Unknown",1928.0,13
"Unknown, Jerusalem, Israel","Unknown, Unknown, Unknown",1928.0,13
"Fatih, İstanbul, Turkey","Unknown, Unknown, Unknown",1929.0,13
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1900.0,13
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1924.0,12
"Unknown, Unknown, Unknown","Fatih, İstanbul, Turkey",1929.0,12
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1927.0,12
"Pera, İstanbul, Turkey","Fatih, İstanbul, Turkey",1928.0,12
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1925.0,11
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1926.0,11
"Unknown, İzmir, Turkey","Unknown, Unknown, Unknown",1927.0,11
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1910.0,11
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1912.0,10
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1919.0,10
"Fatih, İstanbul, Turkey","Pera, İstanbul, Turkey",1928.0,10
"Unknown, Unknown, Unknown","Fatih, İstanbul, Turkey",1927.0,10
"Unknown, Unknown, Unknown","Fatih, İstanbul, Turkey",1928.0,9
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1913.0,9
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1914.0,9
"Unknown, Alexandria, Egypt","Unknown, Unknown, Unknown",1928.0,9
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1920.0,9
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1901.0,8
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1908.0,8
"Fatih, İstanbul, Turkey","Unknown, Unknown, Unknown",1930.0,8
"Unknown, Baghdad, Iraq","Unknown, Unknown, Unknown",1928.0,8
"Unknown, Unknown, Unknown","Unknown, İzmir, Turkey",1928.0,7
"Unknown, Cairo, Egypt","Unknown, Unknown, Unknown",1930.0,7
"Unknown, Cairo, Egypt","Unknown, Unknown, Unknown",1929.0,7
"Unknown, Jerusalem, Israel","Unknown, Unknown, Unknown",1929.0,7
"Unknown, Jaffa, Israel","Unknown, Unknown, Unknown",1928.0,7
"Unknown, Samsun, Turkey","Unknown, Unknown, Unknown",1929.0,7
"Unknown, Unknown, Unknown","Unknown, Baghdad, Iraq",1928.0,7
"Unknown, Cairo, Egypt","Unknown, Unknown, Unknown",1926.0,6
"Fatih, İstanbul, Turkey","Unknown, Unknown, Unknown",1927.0,6
"Unknown, Cairo, Egypt","Unknown, Unknown, Unknown",1927.0,6
"Unknown, Unknown, Unknown","Unknown, Adana, Turkey",1930.0,6
"Unknown, Aydın, Turkey","Unknown, Unknown, Unknown",1929.0,6
"Unknown, Ankara, Turkey","Unknown, Unknown, Unknown",1927.0,6
"Unknown, Unknown, Unknown","Unknown, Beirut, Lebanon",1900.0,6
"Unknown, Unknown, Unknown","Unknown, Cairo, Egypt",1904.0,6
"Fatih, İstanbul, Turkey","Pera, İstanbul, Turkey",1929.0,6
"Unknown, Unknown, Unknown","Unknown, Baghdad, Iraq",1900.0,5
"Unknown, Unknown, Unknown","Unknown, Beirut, Lebanon",1916.0,5
"Unknown, Unknown, Unknown","Unknown, Alexandria, Egypt",1903.0,5
"Unknown, Unknown, Unknown","Pera, İstanbul, Turkey",1903.0,5
"Pera, İstanbul, Turkey","Unknown, Unknown, Unknown",1913.0,5
"Unknown, Unknown, Unknown","Unknown, Aydın, Turkey",1928.0,5
"Unknown, Kermanshah, Iran","Unknown, Unknown, Unknown",1928.0,5
"Pera, İstanbul, Turkey","Unknown, İzmir, Turkey",1928.0,5
"Unknown, Ankara, Turkey","Unknown, Unknown, Unknown",1930.0,5
"Unknown, Cairo, Egypt","Unknown, Unknown, Unknown",1919.0,5
"Unknown, Adana, Turkey","Unknown, Unknown, Unknown",1928.0,5
"Unknown, Hama, Syria","Unknown, Unknown, Unknown",1928.0,5
"Unknown, Balıkesir, Turkey","Unknown, Unknown, Unknown",1928.0,5
"Unknown, Alexandria, Egypt","Unknown, Unknown, Unknown",1920.0,5
"Unknown, Unknown, Unknown","Unknown, İzmir, Turkey",1929.0,5
"Unknown, Baghdad, Iraq","Unknown, Unknown, Unknown",1929.0,5
"Unknown, Uşak, Turkey","Unknown, Unknown, Unknown",1928.0,5
"Unknown, Mersin, Turkey","Unknown, Unknown, Unknown",1927.0,5
"Unknown, Unknown, Unknown","Unknown, İzmir, Turkey",1900.0,5
"Unknown, Mersin, Turkey","Unknown, Unknown, Unknown",1930.0,5
"Unknown, Samsun, Turkey","Unknown, Unknown, Unknown",1928.0,5
"Unknown, Baghdad, Iraq","Unknown, Unknown, Unknown",1927.0,4
"Unknown, Bursa, Turkey","Unknown, Unknown, Unknown",1928.0,4
"Unknown, Bursa, Turkey","Unknown, Unknown, Unknown",1927.0,4
"Unknown, Cairo, Egypt","Unknown, Unknown, Unknown",1924.0,4
"Unknown, Mersin, Turkey","Unknown, Unknown, Unknown",1928.0,4
"Pera, İstanbul, Turkey","Unknown, İzmir, Turkey",1927.0,4
"Unknown, Konya, Turkey","Unknown, Unknown, Unknown",1928.0,4
"Unknown, Alexandria, Egypt","Unknown, Unknown, Unknown",1929.0,4
"Unknown, Denizli, Turkey","Unknown, Unknown, Unknown",1929.0,4
"Unknown, Alexandria, Egypt","Unknown, Unknown, Unknown",1927.0,4
"Unknown, Alexandria, Egypt","Unknown, Unknown, Unknown",1930.0,4
"Unknown, Adana, Turkey","Unknown, Unknown, Unknown",1929.0,4
"Unknown, Unknown, Unknown","Unknown, İzmir, Turkey",1901.0,4
"Unknown, Baghdad, Iraq","Unknown, Unknown, Unknown",1930.0,4
"Unknown, Antalya, Turkey","Unknown, Unknown, Unknown",1928.0,4
"Unknown, Aydın, Turkey","Unknown, Unknown, Unknown",1930.0,4
"Unknown, İzmir, Turkey","Unknown, Unknown, Unknown",1930.0,4
